"surface water age (days)";"initial pH (-)";"initial EC (microS/cm)";"initial turbidity (NTU)";"flocculant age (days)";"Husk removed?";"saline Molarity (mol/l)";"filtered?";"floc dose (mg/l)";"stirring speed coagulation phase (rpm)";"duration coagulation phase (min)";"stirring speed flocculation phase (rpm)";"duration flocculation phase (min)";"stirring speed sedimentation phase (rpm)";"duration sedimentation phase (min)";"final pH (-)";"final EC (microS/cm)";"final turbidity (NTU)";"performance"
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.20;1017.00;3;0.40
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.22;1021.00;3;0.40
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.22;1018.00;3;0.40
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.22;1018.00;2;0.60
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.21;1023.00;3;0.40
8.00;8.10;848;5;0.00;0;0;1;0;100;3;20;15;0;45;8.29;850.00;2;0.60
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.21;1020.00;3;0.40
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.24;1017.00;3;0.40
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.23;1022.00;2;0.60
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.24;1024.00;2;0.60
8.00;8.10;848;5;0.00;0;0;1;100;100;3;20;15;0;45;8.23;1017.00;2;0.60
8.00;8.10;848;5;0.00;0;0;1;0;100;3;20;15;0;45;8.35;848.00;2;0.60
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.05;969.00;5;-0.25
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.06;969.00;4;0.00
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.06;967.00;4;0.00
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.07;971.00;3;0.25
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.07;963.00;4;0.00
2.00;7.99;807;4;0.00;0;0;1;0;100;3;20;15;0;45;8.13;808.00;2;0.50
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.13;968.00;4;0.00
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.16;973.00;4;0.00
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.20;973.00;5;-0.25
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.23;975.00;6;-0.50
2.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.26;975.00;7;-0.75
2.00;7.99;807;4;0.00;0;0;1;0;100;3;20;15;0;45;8.21;806.00;2;0.50
3.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.12;973.00;6;-0.50
3.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.16;982.00;6;-0.50
3.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.15;983.00;5;-0.25
3.00;7.99;807;4;0.00;0;0;1;100;100;3;20;15;0;45;8.20;986.00;4;0.00
3.00;7.99;807;4;85.00;0;0;0;5;100;3;20;15;0;45;8.02;814.00;2;0.50
3.00;7.99;807;4;0.00;0;0;1;0;100;3;20;15;0;45;8.23;807.00;2;0.50
1.00;8.47;811;142;0.00;0;0;1;20;100;1;20;15;0;45;8.44;844.00;16;0.88
1.00;8.47;811;142;0.00;0;0;1;40;100;1;20;15;0;45;8.44;876.00;10;0.92
1.00;8.47;811;142;0.00;0;0;1;60;100;1;20;15;0;45;8.43;911.00;8;0.94
1.00;8.47;811;142;0.00;0;0;1;80;100;1;20;15;0;45;8.42;939.00;6;0.95
1.00;8.47;811;142;0.00;0;0;1;100;100;1;20;15;0;45;8.41;979.00;6;0.95
1.00;8.47;811;142;0.00;0;0;1;0;100;1;20;15;0;45;8.45;808.00;20;0.85
1.00;8.47;811;142;0.00;0;0;1;100;100;1;20;15;0;45;8.38;974.00;5;0.96
1.00;8.47;811;142;0.00;0;0;1;150;100;1;20;15;0;45;8.37;1067.00;5;0.96
1.00;8.47;811;142;0.00;0;0;1;200;100;1;20;15;0;45;8.33;1147.00;4;0.97
1.00;8.47;811;142;0.00;0;0;1;250;100;1;20;15;0;45;8.28;1246.00;4;0.97
1.00;8.47;811;142;0.00;0;0;1;300;100;1;20;15;0;45;8.26;1305.00;4;0.97
1.00;8.47;811;142;0.00;0;0;1;0;100;1;20;15;0;45;8.46;810.00;22;0.84
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.35;1153.00;4;0.97
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.35;1127.00;4;0.97
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.34;1161.00;3;0.97
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.35;1146.00;3;0.97
